model_name,mse,rmse,mae,r2_score
ElasticNet,11.32610930399848,3.3654285468567715,2.062098829170866,0.6470131534975003
RandomForest,6.050236086906913,2.4597227662699943,1.2187764221478892,0.8114397716293502
LightGBM,6.917853489702381,2.6301812655599197,1.314476542489935,0.7843998126493197
XGBoost,6.544917401699969,2.5583036179663994,1.2570606901970707,0.7960226506528764
CatBoost,6.766181614712899,2.601188500419164,1.2468044388723272,0.789126782469111
DecisionTree,7.4678382793090625,2.7327345790085547,1.4041699041699043,0.7672591166435814
