model_name,mse,rmse,mae,r2_score
LinearRegression,756.86581538024,27.511194364844286,16.722344557736978,0.979092704594967
Ridge,755.8025228979833,27.491862848813707,16.700252772739077,0.9791220764724871
Lasso,716.0138700902285,26.758435494068568,15.870182036313528,0.980221178983283
ElasticNet,1423.9508266394587,37.73527297687747,28.080036809281808,0.9606654707217348
DecisionTree,2500.9259259259256,50.00925840207917,22.118055555555554,0.9309156312031739
RandomForest,662.948467428235,25.747785680097522,12.485646804728837,0.9816870320138944
ExtraTrees,319.59605044789106,17.877249521329926,8.594387039103838,0.9911716331994213
GradientBoosting,734.3465185136125,27.098828729552363,15.826088529983592,0.9797147667654822
KNeighbors,2620.546875,51.19127733315511,24.119791666666668,0.927611279932314
MLP,2339.314561426683,48.3664611215942,36.725462825358875,0.9353799054110117
