model_name,mse,rmse,mae,r2_score
LinearRegression,1218.6693424395462,34.90944488873385,22.17567508966316,0.975360817137192
Ridge,1209.4051134676529,34.77650231791077,22.091918546691975,0.9755481222771281
Lasso,1057.9379634764898,32.525958302200564,20.782428287996794,0.9786105007881604
ElasticNet,2507.5366694314666,50.07530997838622,34.612374647560195,0.9493023641592238
RandomForest,5520.3708263378285,74.29919801947952,26.88018382352941,0.8883885714328658
LightGBM,5837.6831324614195,76.40473239571891,27.37565972663329,0.8819731183949254
